Row,DLA1-DLA2,DLA3-DLA4,DLA5-DLA6,DLAH1-DLAH2,DLAH3-DLAH4,DLAH5-DLAH6,DLAH7-DLAH8,DLPH1-DLPH2,DLPH3-DLPH4,DLPH5-DLPH6,DRA4-DRA5,DRA6-DRA7,DRAH6-DRAH7,DRAIN1-DRAIN2,DRAIN3-DRAIN4,DRPIN1-DRPIN2,DRPIN3-DRPIN4
DLA1-DLA2,0.999999,0.28006037616864,-0.0265426754876193,0.263481706640427,0.446772725833846,0.328978446468539,0.0644579542664322,0.301237301331325,0.339449156803443,0.292163707466504,0.0792159634481726,0.232180564759547,0.447715216702908,0.502073159251812,0.629713550876499,0.659645159202375,0.700368341244372
DLA3-DLA4,0.28006037616864,0.999999,0.774687750633117,0.224190977569535,0.0885126799124361,0.025472411212892,-0.0187859759006628,0.200247841261167,-0.234035275960564,0.356346266462187,0.368816368332156,-0.0379091591264239,0.193716173458359,0.278652864574247,0.161728498514255,0.0993516203595863,0.102567762906373
DLA5-DLA6,-0.0265426754876193,0.774687750633117,0.999999,0.505441630593533,0.155119491800557,0.0511823477692157,0.103161522347858,0.282557466486934,-0.106180970630656,0.39781544414202,0.299934104910567,-0.0667189773536033,0.0955978967065476,0.0839001696343702,-0.0357425811959205,-0.129607383457571,-0.183171904021544
DLAH1-DLAH2,0.263481706640427,0.224190977569535,0.505441630593533,0.999999,0.645633157265067,0.34424459074703,0.292140993289506,0.55003027798752,0.411961499058091,0.509294449364098,0.164360548867678,0.148141905908265,0.248817325782505,0.126869297409478,0.200742190004362,0.154314389386745,0.10947737923998
DLAH3-DLAH4,0.446772725833846,0.0885126799124361,0.155119491800557,0.645633157265067,0.999999,0.737695913721366,0.33765096617384,0.47201514858056,0.456031359901795,0.448823175813211,0.0346601666514093,0.116673478529733,0.295800166284672,0.250507538920239,0.363034552577655,0.328405110790685,0.35888868363473
DLAH5-DLAH6,0.328978446468539,0.025472411212892,0.0511823477692157,0.34424459074703,0.737695913721366,0.999999,0.638857456354565,0.35094142957758,0.301340037220177,0.347376226881027,-0.0173347299485507,-0.0299845719492284,0.156276195645737,0.185264646556527,0.262019880748639,0.21310884691824,0.23044845447874
DLAH7-DLAH8,0.0644579542664322,-0.0187859759006628,0.103161522347858,0.292140993289506,0.33765096617384,0.638857456354565,0.999999,0.320846788304843,0.160234563375652,0.30284338953323,-0.0866279867210467,-0.179652261724085,-0.0383940139104658,0.0376223184653427,0.0225941095332369,-0.0587256137341115,-0.0865875192798427
DLPH1-DLPH2,0.301237301331325,0.200247841261167,0.282557466486934,0.55003027798752,0.47201514858056,0.35094142957758,0.320846788304843,0.999999,0.424297268073236,0.689034462594995,0.0456719765358529,-0.1300485226411,0.186521724886616,0.222410973450752,0.222598710188935,0.144222022032513,0.100625692606832
DLPH3-DLPH4,0.339449156803443,-0.234035275960564,-0.106180970630656,0.411961499058091,0.456031359901795,0.301340037220177,0.160234563375652,0.424297268073236,0.999999,0.228200825200491,-0.0744571880216014,0.258551564443801,0.335602981522577,0.0397809826056537,0.250540021482023,0.263965198772596,0.326858459743587
DLPH5-DLPH6,0.292163707466503,0.356346266462187,0.39781544414202,0.509294449364098,0.448823175813211,0.347376226881027,0.30284338953323,0.689034462594995,0.228200825200491,0.999999,0.0411904798720674,-0.212843083365906,0.138906069593859,0.199091759964118,0.184603792670759,0.0783387076015943,0.0757361025464161
DRA4-DRA5,0.0792159634481726,0.368816368332156,0.299934104910567,0.164360548867678,0.0346601666514093,-0.0173347299485507,-0.0866279867210467,0.0456719765358529,-0.0744571880216014,0.0411904798720674,0.999999,0.575663568119644,0.486044361728912,0.216638313809489,0.24770611375215,0.160341139248043,0.205326859638783
DRA6-DRA7,0.232180564759547,-0.0379091591264239,-0.0667189773536033,0.148141905908265,0.116673478529733,-0.0299845719492284,-0.179652261724085,-0.1300485226411,0.258551564443801,-0.212843083365906,0.575663568119644,0.999999,0.526497695489167,0.0517166752057343,0.27600125514183,0.288923189684578,0.374434143067655
DRAH6-DRAH7,0.447715216702908,0.193716173458359,0.0955978967065476,0.248817325782505,0.295800166284672,0.156276195645737,-0.0383940139104658,0.186521724886616,0.335602981522577,0.138906069593859,0.486044361728912,0.526497695489167,0.999999,0.328087150206399,0.436494887495011,0.416319401542857,0.485888578926326
DRAIN1-DRAIN2,0.502073159251812,0.278652864574247,0.0839001696343702,0.126869297409478,0.250507538920239,0.185264646556527,0.0376223184653427,0.222410973450752,0.0397809826056537,0.199091759964118,0.216638313809489,0.0517166752057343,0.328087150206399,0.999999,0.837399065022512,0.637862300438961,0.506104370167872
DRAIN3-DRAIN4,0.629713550876499,0.161728498514255,-0.0357425811959205,0.200742190004362,0.363034552577655,0.262019880748639,0.0225941095332369,0.222598710188935,0.250540021482023,0.184603792670759,0.24770611375215,0.27600125514183,0.436494887495011,0.837399065022512,0.999999,0.718977905917653,0.718534611950386
DRPIN1-DRPIN2,0.659645159202375,0.0993516203595863,-0.129607383457571,0.154314389386745,0.328405110790685,0.21310884691824,-0.0587256137341115,0.144222022032513,0.263965198772596,0.0783387076015943,0.160341139248043,0.288923189684578,0.416319401542857,0.637862300438961,0.718977905917653,0.999999,0.827542673664453
DRPIN3-DRPIN4,0.700368341244372,0.102567762906373,-0.183171904021544,0.10947737923998,0.35888868363473,0.23044845447874,-0.0865875192798427,0.100625692606832,0.326858459743587,0.0757361025464161,0.205326859638783,0.374434143067655,0.485888578926326,0.506104370167872,0.718534611950386,0.827542673664453,0.999999
